FID,INTERACTION_ID,INTERACTIONS
816433,511479,156
460287,411449,156
816433,680659,156
460287,259404,156
786858,546207,156
816433,420359,156
460287,378646,156
460287,377769,156
344886,343261,156
786858,666926,156
786858,688783,156
531162,8446,156
460287,528550,155
816433,739028,155
786858,583945,155
460287,414954,155
458094,531162,155
816433,414401,155
816433,373025,155
460287,308564,155
460287,199989,155
365209,781098,154
460287,482887,154
786858,417780,154
460287,502908,154
600593,385955,154
786858,648956,154
509371,265323,154
460287,533404,154
313283,781098,154
460287,434358,154
816433,397392,154
816433,437666,154
460287,14351,154
505740,343261,154
816433,728543,154
460287,423770,154
373258,781098,154
460287,387202,154
460287,19387,153
460287,243300,153
786858,508485,153
10947,781098,153
324808,16341,153
563445,450425,153
450425,563445,153
563445,558193,153
816433,420958,152
460287,324741,152
502096,343261,152
816433,553958,152
816433,336594,152
450425,528278,152
460287,543754,152
501244,388302,152
503923,343261,152
500205,563445,152
786858,453918,152
460287,381751,152
324808,192609,152
460287,652934,152
816433,500244,152
816433,570151,152
816433,434955,151
816433,528242,151
460287,691068,151
816433,391341,151
13893,781098,151
816433,773774,151
816433,428341,151
816433,420493,151
460287,410577,151
324808,299692,151
827719,234434,151
427615,537227,150
816433,488178,150
479301,781098,150
460287,500533,150
460287,9326,150
816433,423036,150
424493,343261,150
816433,381536,150
379926,15141,150
786858,257710,150
460287,434955,150
563445,500205,150
396644,234616,150
553958,407704,150
816433,438822,150
816433,14553,149
786858,628369,149
460287,383877,149
450425,321969,149
288013,388302,149
816433,426963,149
460287,509982,149
786858,543880,149
563445,612367,149
821566,654639,149
460287,416064,149
816433,451841,149
816433,422334,149
786858,709384,149
816433,249958,149
786858,259100,148
786858,2211,148
460287,383031,148
394357,781098,148
563445,587481,148
816433,525136,148
786858,385955,148
17355,781098,148
427963,531162,147
460287,440324,147
460287,263664,147
324808,14600,147
427796,531162,147
460287,279766,147
563919,343261,147
786858,348969,146
816433,501794,146
489156,636183,146
816433,548867,146
460287,230147,146
324808,11769,146
500205,450425,146
563445,460843,146
324808,250243,146
460287,482688,146
786858,524740,146
460287,438444,146
816433,346080,145
786858,772828,145
324808,268639,145
501701,388302,145
8942,781098,145
460287,366713,145
786858,770962,145
545091,537227,145
816433,301385,145
460287,262405,145
816433,323070,145
816433,341438,145
348539,781098,145
473086,491040,145
460287,604756,145
816433,375140,145
460287,812981,145
702530,195117,145
816433,510330,145
507999,343261,144
460287,193928,144
324808,239658,144
460287,310953,144
816433,773771,144
816433,528914,144
816433,340986,144
722623,343261,144
458111,537227,144
816433,500301,144
786858,334354,144
17137,781098,144
460287,511792,143
816433,477292,143
563445,601725,143
816433,513581,143
545198,537227,143
816433,466111,143
816433,656205,143
460287,244479,142
450425,455930,142
324808,242091,142
816433,419861,142
816433,307182,142
563445,515806,142
460287,508723,142
533969,15141,142
460287,337018,141
786858,14636,141
816433,382827,141
449209,388302,141
450425,500205,141
460287,415368,141
644823,384359,141
460287,630358,141
816433,462883,141
460287,416191,141
547094,12741,141
545079,537227,141
788563,537227,141
816433,391793,140
434133,343261,140
460287,6400,140
600593,321969,140
472896,553423,140
403881,781098,140
308587,781098,140
458767,781098,140
816433,347364,140
816433,13201,140
253746,781098,140
460287,423985,139
460287,357554,139
827725,234434,139
523316,505108,139
816433,416361,139
460287,393942,139
786858,492266,139
450425,558193,139
404627,531162,139
816433,330083,139
460287,497899,139
816433,508409,139
489474,537227,139
786858,520468,139
324808,301812,138
341799,343261,138
460287,428148,138
460287,469501,138
816433,192631,138
816433,377111,138
517788,343261,138
265323,781098,138
816433,628195,138
324808,16333,138
508023,343261,138
460287,815259,137
816433,243818,137
816433,382261,137
786858,514639,137
324808,318040,137
